PubName,Longitude,Latitude
"Cromwell Tavern",-0.1849558,51.4945303
"Old Tavern",-2.5413096,51.4826793
"The Grove Tavern",-1.8169903,50.7262565
"Waterloo Tavern",-1.7365265,53.6452279
"Victoria Tavern",0.0206853,51.5306451
"Westside Tavern",-9.0772371,53.2760972
"The Havelock Tavern",-0.2159952,51.4992875
"Inny Tavern",-10.0603048,51.906292
"The Village Tavern",-1.8215418,51.5529399
"Golf Tavern",-3.0092334,56.3143966
"Station Tavern",-3.237813,55.93688
"The Wembley Tavern",-0.2826353,51.5620416
"Renato's Taverna dell' Artista",-2.5948523,51.4518931
"Tavern Bar",-4.9227059,55.7537105
"The Trout Tavern",-2.4975765,51.4130995
"The Tavern",-2.0797622,51.8993009
"Goldfinger Tavern",-1.715358,51.633036
"Cadwell Tavern",-2.2620194,53.0819165
"St. Margaret's Tavern",-2.2702804,53.5360165
"Whey Pat Tavern",-2.8013225,56.3385392
"Eagle tavern",-1.5950383,51.6389
"Swain Green Tavern",-1.7183025,53.7886598
"Hambrough Tavern",-0.389961,51.5129058
"Oakwood Tavern",-0.130146,51.6483415
"The Cock Tavern",-0.0540008,51.633359
"The Rugby Tavern",-1.2622987,52.3732364
"The Park Tavern",0.054372,51.4497287
"The Town Hall Tavern",-2.2447676,53.4804281
"Stocks Tavern",-2.6153835,53.4564491
"Marine Tavern",-3.4664098,50.5792541
