PubName,Longitude,Latitude
"The Queen's Arms",-1.4744455,51.4855701
"Queen B",0.4781192,51.7230476
"Queen",-3.0478985,51.6663978
"Queens Head",-1.6415823,54.1649606
"Queen's Hotel",-3.0772811,52.9727072
"The Queens Head",0.9959579,52.1884189
"Queens Head",-2.7581906,51.4332769
"Queens Head",1.2239928,51.9654913
"Queens",-2.2064122,53.0175749
"Queens Head",-1.748146,53.91345
"Queens Arms",-0.7377156,52.3428694
"The Queens Head",-3.4789915,51.2062657
"The Queen's Head",0.5438845,51.7578829
"King & Queen",-1.710685,51.630424
"The Queens",-3.8344508,51.2295218
"Queen Anne",-2.2727024,53.5635533
"Prussian Queen",0.1833308,53.3946581
"The Queens",-3.042873,53.4220418
"The Queen's Head",-1.1246508,53.3040353
"The Queens Head",-0.9596611,51.1591423
"Queens Head",-2.157597,53.4110127
"Queen's Head",0.7963666,51.7731818
"Queen's Head",-1.3392627,52.7829161
