PubName,Longitude,Latitude
"The Victoria",-0.3324841,51.7508226
"The Slug and Lettuce",-0.337645,51.7520736
"O'Neills",-0.3379642,51.7521383
"Barneys",-0.3388141,51.7505865
"The Farmer's Boy",-0.333868,51.748746
"The Great Northern",-0.3320146,51.7477621
"Waterend Barn",-0.3373473,51.752639
"The Cock",-0.3360435,51.7544479
"Blacksmith's Arms",-0.3357395,51.7546858
"The Mermaid",-0.3323992,51.7536315
"The Peacock",-0.3332662,51.754019
"Crown Hotel",-2.6674289,53.1565342
"Rising Sun PH",-2.6691107,53.1595065
"The Boot",-0.3402027,51.7512433
"Six Bells",0.2217539,52.1833197
"The White Hart Inn",0.2239141,52.1783229
"The White Hart",-1.5812093,50.9218241
"Shoulder of Mutton",-1.909562,53.3248885
"The Royal Oak",-1.9153973,53.3231212
"The Roebuck",-1.9157781,53.3235505
"New Inn",-1.9194502,53.3221444
"Kings Arms Hotel",-1.9161445,53.3231121
"The Dog",-1.9157502,53.3230646
"The Pickhurst",0.0023913,51.3834915
"The Beehive Inn",-1.9392183,53.3040719
"Hanging Gate",-1.9397241,53.3165597
"The Luminaire",-0.2010027,51.5442632
"The Green Man",-0.221599,51.453407
"Waterloo Arms",-1.5790772,50.8774989
"The Crown Stirrup",-1.5724735,50.8620239
"Shoulder of Mutton",1.0002805,52.2232063
"King of Wessex",-2.3644627,51.3809287
"George and Dragon",-0.6656328,52.5750641
"The Horseshoe",-0.7373296,52.6683287
"Horse and Groom",-0.547809,53.2304649
"The Anchor",-0.5436811,53.2235776
"The Bird In Hand",-1.5021989,51.8229896
"The Crown",-0.5156661,52.6458697
"The Northwick Arms",-0.5506364,52.6324801
"The Vaults",-0.7221277,52.5875647
"The Arboretum (closed)",-2.2192609,52.1983475
"The Sportsmans Arms",-2.7667878,53.1215571
"Letters Inn",-2.7672498,53.1217881
"Baker's Arms",0.2091218,52.1851233
"The Sun Inn",-0.6668237,52.7117589
"The Calveley Arms",-2.7966903,53.1146048
"The Tandem",-1.243883,51.71838
"The Arab Boy",-0.2266975,51.4628591
"The Flowing Well",-1.2819722,51.7018012
"Three Horseshoes Inn",-0.1200912,52.3329469
"The Stocks Inn",-1.9793208,50.8195042
"Drusilla's Inn",-1.946243,50.8665906
"The Anglers",-0.4224129,51.3902487
"The Wrestlers",0.1463364,52.2109684
"Tattingstone White Horse",1.1108742,52.0018518
"The Wheatsheaf",1.0983395,51.9894571
"The Three Horseshoes",0.1472088,52.1442633
"The Rose",0.1481958,52.1433358
"The Tree",0.1518962,52.1439942
"The Plough",0.1355124,52.1503748
"Square and Compasses",0.1337443,52.1487948
"Railway Tavern",0.1397008,52.1482261
"The Ritz",-0.5433163,53.224267
"Magna Carta",-0.5385539,53.2343344
"Wig and Mitre",-0.5388074,53.2341528
"The Still",-0.5397891,53.2289965
"The Lamb Inn",-1.5993504,51.854145
"The Navy Oak",-1.5293842,51.8369219
"The Union Bar",-0.1777114,51.5003932
"The Bell",-0.2054077,51.2373012
"The Old Five Bells",-0.6594603,51.5331401
"The Feathers",-0.6812412,51.5571899
"The Pheasant",-0.6664998,51.5325734
"The Cholmondeley Arms",-2.7252504,53.2952967
"The Free Press",0.1303831,52.2047799
"The Elm Tree",0.1294263,52.2051547
"Cambridge Blue",0.1391899,52.2023787
"Man On The Moon",0.1365861,52.20485
"The Snug (at The Vine)",0.1339708,52.205421
"The Hopbine",0.1293896,52.2073502
"White Swan",0.1392595,52.1993383
"The Chequers",-0.6883858,51.5745556
"White Horse Inn",-0.6337866,52.5938255
"Exeter Arms",-0.7274061,52.5885867
"The Cross Keys",-0.7206003,52.5874395
"Six Bells",0.13442,52.2003773
"Brigadier Gerard",-1.2954798,50.9466916
"The Stepping Stones",-0.3246056,51.2529436
"Blue Anchor",-0.2118839,51.238649
"The Seven Stars",-0.2577041,51.2105348
"The Pilgrim",-0.3383204,51.2359191
"The Watermill",-0.3123369,51.2381874
"The Talbot",-1.1256992,52.659689
"Bull's Head",-1.1238264,52.6603665
"The Belgrave",-1.1233088,52.6597841
"The Sir Robert",-2.9211495,53.2714024
"The Dolphin Inn",-0.2661495,51.2336498
"The Lincoln Arms",-0.3248432,51.2399854
"The Jolly Farmers",-0.2403384,51.2429995
"Royal Oak",-0.3152063,51.2183552
"The Edmund Tylney",-0.3274547,51.2953302
"The Tom Hoskins",-1.1325153,52.6588567
"The Broadway",-1.1333969,52.6579348
"The King's Arms",-0.3354979,51.2318347
"The Arkle Manor",-0.2836248,51.2400532
"Ancient Shepherds",0.1725671,52.2203825
"The Plough",0.168104,52.2240008
"Waggon and Horses",-0.7183681,52.5882113
"The Fox and Hounds",-2.8083527,53.0571569
"The Carden Arms",-2.8088838,53.0570715
"Cock o' Barton PH",-2.8256183,53.0815543
"The Railway",-0.5515012,52.6272636
"The Finch's Arms",-0.6707535,52.6591446
"The Royal Oak",1.1812359,52.0480475
"The Penny Black",-0.3302001,51.2954954
"The Plough",-0.329778,51.3029905
"Sally Pussey's Inn",-1.8727011,51.545096
"The Running Horse",-0.3322357,51.2944679
"Odd House Tavern",-0.7257115,52.6725981
"The Collyweston Slater",-0.5294199,52.6136226
"The Oak Inn",-0.5073611,52.624705
"The Bull and Swan",-0.4768053,52.6481021
"The Merry Monk",-0.7298304,52.6704048
"The Kings Arms",-0.6838065,52.6167673
"The Falcon",1.2183636,52.0690728
"Shakespeare",-0.5457211,53.2175551
"The Horse and Jockey",-0.703123,52.6323283
"The Fox and Hounds Inn",-0.6336622,52.6902944
"City Vaults",-0.5446779,53.2216028
"The Phoenix",-0.9125844,51.2963079
"The Boot",1.1663491,52.0121553
"The Oyster Reach",1.1502785,52.0330594
"The Abbey",-1.1406951,52.6480531
"Cross Keys",-3.0777169,53.1023665
"The Swan",1.1570085,51.9850297
"Wheatsheaf Inn PH",-2.7913349,53.2518362
"The White Horse",-1.1175961,52.6745492
"The Old Plough",-1.1186114,52.6751542
"Earl of Beaconsfield",0.1422292,52.1984389
"The Empress",0.1472394,52.1991085
"The Cradock Arms",-1.1169255,52.6093317
"The Greyhound",1.1511612,52.0623891
"Kingfisher Inn",-0.7129228,52.6127774
"The Musician",-1.1257204,52.6388995
"The Clowes Arms",-1.1205817,52.6533337
"Northbridge Tavern",-1.1426933,52.6412323
"The Court Inn",-1.4812502,51.7905597
"The Royal Oak",-0.2868506,51.2330833
"The Welldigger's Arms",-0.5859297,50.9795472
"The Cricketers' Arms",-0.5041669,51.0246538
"The Bat and Ball",-0.4894131,51.0322353
"The Limeburners",-0.4720856,51.0187097
"The Onslow Arms",-0.5151818,51.0702987
"Red Lion",-2.3056055,51.1168213
"Waterman's Arms",-0.6098377,51.486289
